,propertyid,location,bedroom,bathroom,area ( Sq. Yd.),price,Flat,House,Lower Portion,Room,Upper Portion,For Purchase,For Rent,For Sale,address
347,44793709,"DHA Phase 8, DHA Defence, Karachi, Sindh",7,6,1000,1000000,False,True,False,False,False,False,True,False,185
348,44793912,"DHA Phase 8 - Zone A, DHA Phase 8, DHA Defence, Karachi, Sindh",3,4,500,200000,False,False,True,False,False,False,True,False,184
349,44796421,"DHA Phase 2 Extension, DHA Defence, Karachi, Sindh",2,2,100,35010,True,False,False,False,False,False,True,False,177
350,44797203,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,6,350,250000,False,True,False,False,False,False,True,False,308
351,44797974,"DOHS Phase 2, Malir Cantonment, Cantt, Karachi, Sindh",4,5,500,130000,False,False,True,False,False,False,True,False,187
352,44806931,"DHA Phase 8, DHA Defence, Karachi, Sindh",3,4,500,160000,False,False,True,False,False,False,True,False,185
353,44807085,"Nishat Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",2,2,106,55000,True,False,False,False,False,False,True,False,315
354,44807639,"Civil Lines, Karachi, Sindh",4,5,289,160000,True,False,False,False,False,False,True,False,158
355,44811807,"Bahria Paradise, Bahria Town Karachi, Karachi, Sindh",5,5,500,120000,False,True,False,False,False,False,True,False,119
356,44811808,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",3,3,250,48000,True,False,False,False,False,False,True,False,115
357,44811809,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,200,60000,False,True,False,False,False,False,True,False,133
358,44811849,"DHA Phase 6, DHA Defence, Karachi, Sindh",0,2,50,50000,True,False,False,False,False,False,True,False,181
359,44820970,"Clifton - Block 2, Clifton, Karachi, Sindh",3,3,178,65000,True,False,False,False,False,False,True,False,160
360,44824291,"Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",3,3,289,90000,True,False,False,False,False,False,True,False,113
361,44825043,"Bufferzone - Sector 15-A/4, Buffer Zone, North Karachi, Karachi, Sindh",2,3,120,32000,False,False,False,False,True,False,True,False,148
362,44825149,"Bufferzone - Sector 15-A/4, Buffer Zone, North Karachi, Karachi, Sindh",2,2,80,22000,False,False,False,False,True,False,True,False,148
363,44828323,"DHA Phase 8, DHA Defence, Karachi, Sindh",6,6,500,400000,False,True,False,False,False,False,True,False,185
364,44830912,"Gulistan-e-Jauhar, Karachi, Sindh",2,2,106,28000,True,False,False,False,False,False,True,False,245
365,44832826,"Civil Lines, Karachi, Sindh",3,3,200,110000,True,False,False,False,False,False,True,False,158
366,44833397,"Navy Housing Scheme Zamzama, Zamzama, Karachi, Sindh",3,4,500,265000,False,False,False,False,True,False,True,False,309
367,44833529,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,5,500,500000,False,True,False,False,False,False,True,False,181
368,44833594,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",3,3,125,30000,False,True,False,False,False,False,True,False,122
369,44834439,"DHA Phase 6, DHA Defence, Karachi, Sindh",2,2,50,27000,True,False,False,False,False,False,True,False,181
370,44834828,"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi, Sindh",3,4,200,30000,False,True,False,False,False,False,True,False,123
371,44835064,"Saima Elite Villas, Malir, Karachi, Sindh",3,3,120,50000,False,True,False,False,False,False,True,False,363
372,44835073,"Clifton - Block 2, Clifton, Karachi, Sindh",3,3,200,65000,True,False,False,False,False,False,True,False,160
373,44835137,"Clifton - Block 2, Clifton, Karachi, Sindh",3,3,200,70000,True,False,False,False,False,False,True,False,160
374,44835241,"DHA Phase 2 Extension, DHA Defence, Karachi, Sindh",6,6,1000,250000,False,True,False,False,False,False,True,False,177
375,44835372,"Bahria Town - Precinct 8, Bahria Town Karachi, Karachi, Sindh",5,5,272,90000,False,True,False,False,False,False,True,False,132
376,44835386,"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi, Sindh",3,3,200,40000,False,True,False,False,False,False,True,False,123
377,44835393,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",3,3,200,39000,False,True,False,False,False,False,True,False,126
378,44835410,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",3,3,152,35000,False,True,False,False,False,False,True,False,126
379,44835555,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",3,3,152,45000,False,True,False,False,False,False,True,False,126
380,44835566,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",3,3,152,40000,False,True,False,False,False,False,True,False,127
381,44835906,"DHA Phase 8, DHA Defence, Karachi, Sindh",3,4,500,170000,False,False,False,False,True,False,True,False,185
382,44836382,"Nazimabad, Karachi, Sindh",3,3,167,45000,True,False,False,False,False,False,True,False,312
383,44836787,"Clifton - Block 3, Clifton, Karachi, Sindh",3,3,183,80000,True,False,False,False,False,False,True,False,161
384,44836839,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,144,45000,True,False,False,False,False,False,True,False,248
385,44836845,"Gulistan-e-Jauhar, Karachi, Sindh",3,0,400,78000,False,False,True,False,False,False,True,False,245
386,44837037,"DHA Phase 6, DHA Defence, Karachi, Sindh",3,4,500,110000,False,False,True,False,False,False,True,False,181
387,44837082,"DHA Phase 6, DHA Defence, Karachi, Sindh",3,4,500,100000,False,False,True,False,False,False,True,False,181
388,44837087,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,161,65000,True,False,False,False,False,False,True,False,253
389,44837150,"North Karachi - Sector 11-C/3, North Karachi, Karachi, Sindh",2,3,120,30000,False,False,False,False,True,False,True,False,317
390,44837162,"Abul Hassan Isphani Road, Karachi, Sindh",2,2,120,25000,False,False,True,False,False,False,True,False,104
391,44837169,"Gulshan-e-Kaneez Fatima, Scheme 33, Karachi, Sindh",2,2,72,20000,True,False,False,False,False,False,True,False,262
